,Air,air
,Cobblestone,cobblestone
,Cobblestone Slab,cobblestone_slab
,Cobblestone Stairs,cobblestone_stairs
,Cobblestone Wall,cobblestone_wall
,Infested Cobblestone,infested_cobblestone
,Mossy Cobblestone,mossy_cobblestone
,Mossy Cobblestone Slab,mossy_cobblestone_slab
,Mossy Cobblestone Stairs,mossy_cobblestone_stairs
,Mossy Cobblestone Wall,mossy_cobblestone_wall
,Stone,stone
,Stone Slab,stone_slab
,Stone Stairs,stone_stairs
,Infested Stone,infested_stone
,Smooth Stone,smooth_stone
,Smooth Stone Slab,smooth_stone_slab
,Stone Bricks,stone_bricks
,Stone Brick Slab,stone_brick_slab
,Stone Brick Stairs,stone_brick_stairs
,Stone Brick Wall,stone_brick_wall
,Infested Stone Bricks,infested_stone_bricks
,Cracked Stone Bricks,cracked_stone_bricks
,Infested Cracked Stone Bricks,infested_cracked_stone_bricks
,Chiseled Stone Bricks,chiseled_stone_bricks
,Infested Chiseled Stone Bricks,infested_chiseled_stone_bricks
,Mossy Stone Bricks,mossy_stone_bricks
,Mossy Stone Brick Slab,mossy_stone_brick_slab
,Mossy Stone Brick Stairs,mossy_stone_brick_stairs
,Mossy Stone Brick Wall,mossy_stone_brick_wall
,Infested Mossy Stone Bricks,infested_mossy_stone_bricks
,Stone Pressure Plate,stone_pressure_plate
,Stone Button,stone_button
,Deepslate,deepslate
,Cobbled Deepslate,cobbled_deepslate
,Cobbled Deepslate Slab,cobbled_deepslate_slab
,Cobbled Deepslate Stairs,cobbled_deepslate_stairs
,Cobbled Deepslate Wall,cobbled_deepslate_wall
,Infested Deepslate,infested_deepslate
,Polished Deepslate,polished_deepslate
,Polished Deepslate Slab,polished_deepslate_slab
,Polished Deepslate Stairs,polished_deepslate_stairs
,Polished Deepslate Wall,polished_deepslate_wall
,Deepslate Bricks,deepslate_bricks
,Deepslate Brick Slab,deepslate_brick_slab
,Deepslate Brick Stairs,deepslate_brick_stairs
,Deepslate Brick Wall,deepslate_brick_wall
,Cracked Deepslate Bricks,cracked_deepslate_bricks
,Deepslate Tiles,deepslate_tiles
,Deepslate Tile Slab,deepslate_tile_slab
,Deepslate Tile Stairs,deepslate_tile_stairs
,Deepslate Tile Wall,deepslate_tile_wall
,Cracked Deepslate Tiles,cracked_deepslate_tiles
,Chiseled Deepslate,chiseled_deepslate
,Reinforced Deepslate,reinforced_deepslate
,Bedrock,bedrock
,Diorite,diorite
,Diorite Slab,diorite_slab
,Diorite Stairs,diorite_stairs
,Diorite Wall,diorite_wall
,Polished Diorite,polished_diorite
,Polished Diorite Slab,polished_diorite_slab
,Polished Diorite Stairs,polished_diorite_stairs
,Andesite,andesite
,Andesite Slab,andesite_slab
,Andesite Stairs,andesite_stairs
,Andesite Wall,andesite_wall
,Polished Andesite,polished_andesite
,Polished Andesite Slab,polished_andesite_slab
,Polished Andesite Stairs,polished_andesite_stairs
,Granite,granite
,Granite Slab,granite_slab
,Granite Stairs,granite_stairs
,Granite Wall,granite_wall
,Polished Granite,polished_granite
,Polished Granite Slab,polished_granite_slab
,Polished Granite Stairs,polished_granite_stairs
,Tuff,tuff
,Tuff Slab,tuff_slab
,Tuff Stairs,tuff_stairs
,Tuff Wall,tuff_wall
,Chiseled Tuff,chiseled_tuff
,Polished Tuff,polished_tuff
,Polished Tuff Slab,polished_tuff_slab
,Polished Tuff Stairs,polished_tuff_stairs
,Polished Tuff Wall,polished_tuff_wall
,Tuff Bricks,tuff_bricks
,Tuff Brick Slab,tuff_brick_slab
,Tuff Brick Stairs,tuff_brick_stairs
,Tuff Brick Wall,tuff_brick_wall
,Chiseled Tuff Bricks,chiseled_tuff_bricks
,Calcite,calcite
,Dripstone Block,dripstone_block
,Pointed Dripstone,pointed_dripstone
,Dirt,dirt
,Grass Block,grass_block
,Mycelium,mycelium
,Podzol,podzol
,Coarse Dirt,coarse_dirt
,Rooted Dirt,rooted_dirt
,Dirt Path,dirt_path
